File,Segment ID:,Station ID:,Location1 (On):,Location2 (From):,Location3 (To):,Direction:,Borough Code*:,Date,Year:,Month:,Quarter:,DOW:,Day_Type:,Start Time:,End Time:,Weather:,Speed Limit:,Type of Roadway:,Width of Road by Direction:,Number of Moving Lanes:,Number of Parking Lanes:,Min,Max,Average,5th Percentile,50th Percentile,95th Percentile,
129704_WB_raw_counts(129704 1200-1300).xlsx,70987,,W 181st St ,Ft Washington Ave,Pinehurst Ave,WB,1,2/14/2020,2020,Feb,Q1,Fri,Weekday,12:00:00,13:00:00,Dry - Clear,25,Two - Way,20',1,1,12,23,18.03076923,13,19,22,2020Q1
129704_WB_raw_counts(129704 2000-2100).xlsx,70987,,W 181st St ,Ft Washington Ave,Pinehurst Ave,WB,1,2/14/2020,2020,Feb,Q1,Fri,Weekday,20:00:00,21:00:00,Dry - Clear,25,Two - Way,20',1,1,12,27,18.24561404,13,18,23,2020Q1
130433_EB_raw_counts(130433 - 0800-0900 Before Crosswalk).xlsx,80065,,BRIGGS AVENUE,EAST KINGSBRIDGE ROAD,E 194th St,EB,2,10/27/2020,2020,Oct,Q4,Tue,Weekday,08:00:00,09:00:00,Dry - Clear,25,,24',2,0,11,22,15.74074074,11,16,19.7,2020Q4
130433_EB_raw_counts(130433 - 1200-1300 Before Crosswalk).xlsx,80065,,BRIGGS AVENUE,EAST KINGSBRIDGE ROAD,E 194th St,EB,2,10/27/2020,2020,Oct,Q4,Tue,Weekday,12:00:00,13:00:00,Dry - Clear,25,,24',2,0,11,19,15,11,16,19,2020Q4
130433_EB_raw_counts(130433 - 2000-2100 Before Crosswalk).xlsx,80065,,BRIGGS AVENUE,EAST KINGSBRIDGE ROAD,E 194th St,EB,2,10/27/2020,2020,Oct,Q4,Tue,Weekday,20:00:00,21:00:00,Dry - Clear,25,,24',2,0,11,20,14.14285714,11,13.5,18.7,2020Q4
130434_EB_raw_counts(130434 - 0800-0900 After Crosswalk).xlsx,113576,,BRIGGS AVENUE,EAST KINGSBRIDGE ROAD,E 194th St,EB,2,10/27/2020,2020,Oct,Q4,Tue,Weekday,08:00:00,09:00:00,Dry - Clear,25,,24',2,0,4,14,9.592592593,5.3,10,13,2020Q4
130434_EB_raw_counts(130434 - 1200-1300 After Crosswalk).xlsx,113576,,BRIGGS AVENUE,EAST KINGSBRIDGE ROAD,E 194th St,EB,2,10/27/2020,2020,Oct,Q4,Tue,Weekday,12:00:00,13:00:00,Dry - Clear,25,,24',2,0,4,14,10.19047619,5,12,14,2020Q4
130434_EB_raw_counts(130434 - 2000-2100 After Crosswalk).xlsx,113576,,BRIGGS AVENUE,EAST KINGSBRIDGE ROAD,E 194th St,EB,2,10/27/2020,2020,Oct,Q4,Tue,Weekday,20:00:00,21:00:00,Dry - Clear,25,,24',2,0,7,15,10.57142857,7.65,10,14.35,2020Q4
134756_NB_raw_counts(134756 NB).xlsx,155674,,SPRINGFIELD BLVD,143rd Ave,143rd Rd,NB,4,5/12/2021,2021,May,Q2,Wed,Weekday,12:04PM,12:47PM,Dry - Clear,25 MPH,Two - Way,30 ft.,2,1,12,33,20.77,13,22,28,2021Q2
134757_SB_raw_counts(134757 SB).xlsx,149426,,SPRINGFIELD BLVD,143rd Ave,143rd Rd,SB,4,5/12/2021,2021,May,Q2,Wed,Weekday,12:02PM,12:45PM,Dry - Clear,25 MPH,Two - Way,28 ft.,2,0,13,35,19.5,13,19,28,2021Q2
134758_SB_raw_counts(134758 SB).xlsx,148959,,SPRINGFIELD BLVD,136rd Ave,136rd Rd,SB,4,5/12/2021,2021,May,Q2,Wed,Weekday,12:10PM,12:58PM,Dry - Clear,25 MPH,Two - Way,34 ft.,2,1,13,39,28.18,19.95,28,38,2021Q2
134759_NB_raw_counts(134759 NB).xlsx,156289,,SPRINGFIELD BLVD,136rd Ave,136rd Rd,NB,4,5/12/2021,2021,May,Q2,Wed,Weekday,12:15PM,1:03PM,Dry - Clear,25 MPH,Two - Way,34 ft.,2,1,13,39,27.72,19.95,28,36,2021Q2
135205_NB_raw_counts(21-360046 - 135205 NB).xlsx,80200,,Briggs Ave,E 196th St,E 197th St,NB,2,5/4/2021,2021,May,Q2,Tue,Weekday,11:02AM,12:22PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,9,22,15.88,11,16,20,2021Q2
135208_NB_raw_counts(21-360048 - 135208 NB).xlsx,77404,,Fox St,Longwood Ave,Intervale Ave,NB,2,5/26/2021,2021,May,Q2,Wed,Weekday,11:00AM,12:55PM,Dry - Clear,15 MPH,One - Way,32 ft.,1,2,6,24,14.73,9.9,15,20,2021Q2
135223_NB_raw_counts(21-360052- 135223 NB 1 - 8am).xlsx,75992,,75th St,25th Ave,30th Ave,NB,4,8/3/2021,2021,Aug,Q3,Tue,Weekday,8:00AM,9:00AM,Dry - Clear,15MPH,Two - Way,34 ft.,2,2,5,14,7.515151515,5,7,12,2021Q3
135223_NB_raw_counts(21-360052- 135223 NB 2 - 12pm).xlsx,75992,,75th St,25th Ave,30th Ave,NB,4,8/3/2021,2021,Aug,Q3,Tue,Weekday,12:00PM,13:00PM,Dry - Clear,15MPH,Two - Way,34 ft.,2,2,5,14,7.692307692,5,7,13,2021Q3
135223_NB_raw_counts(21-360052- 135223 NB 3 - 8pm).xlsx,75992,,75th St,25th Ave,30th Ave,NB,4,8/3/2021,2021,Aug,Q3,Tue,Weekday,20:00PM,21:00PM,Dry - Clear,15MPH,Two - Way,34 ft.,2,2,5,15,7.215686275,5,6,12.5,2021Q3
135223_SB_raw_counts(21-360052 - 135223 SB 1 - 8am).xlsx,75992,,75th St,25th Ave,30th Ave,SB,4,5/25/2021,2021,May,Q2,Tue,Weekday,8:00AM,8:23AM,Dry - Clear,15 MPH,Two - Way,34 ft.,2,2,6,22,13.55,6.95,14,21.05,2021Q2
135223_SB_raw_counts(21-360052 - 135223 SB 2 - 12pm).xlsx,75992,,75th St,25th Ave,30th Ave,SB,4,5/25/2021,2021,May,Q2,Tue,Weekday,12:00PM,12:20PM,Dry - Clear,15 MPH,Two - Way,34 ft.,2,2,6,24,14.88,7.95,15,22.05,2021Q2
135223_SB_raw_counts(21-360052 - 135223 SB 3 - 8pm).xlsx,75992,,75th St,25th Ave,30th Ave,SB,4,5/25/2021,2021,May,Q2,Tue,Weekday,8:00PM,8:25PM,Dry - Clear,15 MPH,Two - Way,34 ft.,2,2,5,31,17.04,8,17,24.1,2021Q2
135224_NB_raw_counts(21-360052- 135224 NB 1 - 8am).xlsx,75992,,75th St,25th Ave,30th Ave,NB,4,8/3/2021,2021,Aug,Q3,Tue,Weekday,8:00AM,9:00AM,Dry - Clear,15MPH,Two - Way,34 ft.,2,2,7,19,11.33846154,7,10,17,2021Q3
135224_NB_raw_counts(21-360052- 135224 NB 2 - 12pm).xlsx,75992,,75th St,25th Ave,30th Ave,NB,4,8/3/2021,2021,Aug,Q3,Tue,Weekday,12:00PM,13:00PM,Dry - Clear,15MPH,Two - Way,34 ft.,2,2,5,20,11.48076923,7,10,18,2021Q3
135224_NB_raw_counts(21-360052- 135224 NB 3 - 8pm).xlsx,75992,,75th St,25th Ave,30th Ave,NB,4,8/3/2021,2021,Aug,Q3,Tue,Weekday,20:00PM,21:00PM,Dry - Clear,15MPH,Two - Way,34 ft.,2,2,7,18,10.86538462,7,10,16.45,2021Q3
135224_SB_raw_counts(21-360052 - 135224 SB 1 - 8am).xlsx,75992,,75th St,25th Ave,30th Ave,SB,4,5/25/2021,2021,May,Q2,Tue,Weekday,8:00AM,8:23AM,Dry - Clear,15 MPH,Two - Way,34 ft.,2,2,6,21,14.53,8,14,21,2021Q2
135224_SB_raw_counts(21-360052 - 135224 SB 2 - 12pm).xlsx,75992,,75th St,25th Ave,30th Ave,SB,4,5/25/2021,2021,May,Q2,Tue,Weekday,12:00PM,12:20PM,Dry - Clear,15 MPH,Two - Way,34 ft.,2,2,6,24,15.69,8,16,22,2021Q2
135224_SB_raw_counts(21-360052 - 135224 SB 3 - 8pm).xlsx,75992,,75th St,25th Ave,30th Ave,SB,4,5/25/2021,2021,May,Q2,Tue,Weekday,8:00PM,8:25PM,Dry - Clear,15 MPH,Two - Way,34 ft.,2,2,9,28,18,12,18,23.05,2021Q2
135231_SB_raw_counts(21-360053 - 135231 SB 1 - 8am).xlsx,163552,,E 5th St,Greenwood Ave,Fort Hamilton Pkwy,SB,3,5/27/2021,2021,May,Q2,Thu,Weekday,8:00AM,8:25AM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,6,29,14.43,7,14,23.05,2021Q2
135231_SB_raw_counts(21-360053 - 135231 SB 2 - 12pm).xlsx,163552,,E 5th St,Greenwood Ave,Fort Hamilton Pkwy,SB,3,5/27/2021,2021,May,Q2,Thu,Weekday,12:00PM,12:24PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,8,31,16.12,9,16,24.05,2021Q2
135231_SB_raw_counts(21-360053 - 135231 SB 3 - 630pm).xlsx,163552,,E 5th St,Greenwood Ave,Fort Hamilton Pkwy,SB,3,5/27/2021,2021,May,Q2,Thu,Weekday,6:30PM,6:51PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,6,31,14.72,9,15,22,2021Q2
135232_SB_raw_counts(21-360053 - 135232 SB 1 - 8am).xlsx,260423,,E 5th St,Fort Hamilton Pkwy,Caton Ave,SB,3,5/27/2021,2021,May,Q2,Thu,Weekday,8:00AM,8:25AM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,6,26,15.06,9,15,22,2021Q2
135232_SB_raw_counts(21-360053 - 135232 SB 2 - 12pm).xlsx,260423,,E 5th St,Fort Hamilton Pkwy,Caton Ave,SB,3,5/27/2021,2021,May,Q2,Thu,Weekday,12:00PM,12:24PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,8,28,16.02,9.95,16,23.05,2021Q2
135232_SB_raw_counts(21-360053 - 135232 SB 3 - 630pm).xlsx,260423,,E 5th St,Fort Hamilton Pkwy,Caton Ave,SB,3,5/27/2021,2021,May,Q2,Thu,Weekday,6:30PM,6:51PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,8,26,14.69,9.95,14,22,2021Q2
135707_WB_raw_counts(21-360086- 135707 WB).xlsx,35636,,Driggs Avenue,Diamond St,Newel St,WB,3,6/29/2021,2021,Jun,Q2,Tue,Weekday,10:00AM,11:00AM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,5,30,13.20779221,5,13,19.2,2021Q2
135708_WB_raw_counts(21-360086- 135708 WB).xlsx,165324,,Driggs Avenue,Graham Ave,Newel St,WB,3,6/29/2021,2021,Jun,Q2,Tue,Weekday,10:00AM,11:00AM,Dry - Clear,15 MPH,One - Way,30 ft.,1,2,5,26,12.97402597,10,12,18.4,2021Q2
135720_EB_raw_counts(21-360095- 135720 EB 12PM).xlsx,30824,,Kosciuszko Street,Nostrand Ave,Bedford Ave,EB,3,6/29/2021,2021,Jun,Q2,Tue,Weekday,12:00PM,13:00PM,Dry - Clear,15 MPH,One - Way,34 ft.,1,2,10,31,17.72,10.4,18,28.8,2021Q2
135720_EB_raw_counts(21-360095- 135720 EB 19PM).xlsx,30824,,Kosciuszko Street,Nostrand Ave,Bedford Ave,EB,3,6/29/2021,2021,Jun,Q2,Tue,Weekday,19:00PM,20:00PM,Dry - Clear,15 MPH,One - Way,34 ft.,1,2,5,21,11.64705882,5,10,19.35,2021Q2
135720_EB_raw_counts(21-360095- 135720 EB 8AM).xlsx,30824,,Kosciuszko Street,Nostrand Ave,Bedford Ave,EB,3,6/29/2021,2021,Jun,Q2,Tue,Weekday,08:00AM,09:00AM,Dry - Clear,15 MPH,One - Way,34 ft.,1,2,5,25,12.45348837,10,10.5,17,2021Q2
135721_EB_raw_counts(21-360095- 135721 EB 12PM).xlsx,30824,,Kosciuszko Street,Nostrand Ave,Bedford Ave,EB,3,6/29/2021,2021,Jun,Q2,Tue,Weekday,12:00PM,13:00PM,Dry - Clear,15 MPH,One - Way,34 ft.,1,2,5,22,13.28,6,12,20,2021Q2
135721_EB_raw_counts(21-360095- 135721 EB 19PM).xlsx,30824,,Kosciuszko Street,Nostrand Ave,Bedford Ave,EB,3,6/29/2021,2021,Jun,Q2,Tue,Weekday,19:00PM,20:00PM,Dry - Clear,15 MPH,One - Way,34 ft.,1,2,8,24,16.20588235,10.6,16,22,2021Q2
135721_EB_raw_counts(21-360095- 135721 EB 8AM).xlsx,30824,,Kosciuszko Street,Nostrand Ave,Bedford Ave,EB,3,6/29/2021,2021,Jun,Q2,Tue,Weekday,08:00AM,09:00AM,Dry - Clear,15 MPH,One - Way,34 ft.,1,2,5,24,13.26373626,5.5,13,20,2021Q2
135724_WB_raw_counts(21-360097- 135724 WB 12PM).xlsx,132737,,Bedford Street,Downing St,6th Ave,WB,1,7/1/2021,2021,Jul,Q3,Thu,Weekday,12:00PM,12:48PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,0,5,31,14.99,5,15,23,2021Q3
135724_WB_raw_counts(21-360097- 135724 WB 20PM).xlsx,132737,,Bedford Street,Downing St,6th Ave,WB,1,7/1/2021,2021,Jul,Q3,Thu,Weekday,20:00PM,21:00PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,0,10,30,19.33333333,10,20,29,2021Q3
135724_WB_raw_counts(21-360097- 135724 WB 8AM).xlsx,132737,,Bedford Street,Downing St,6th Ave,WB,1,7/1/2021,2021,Jul,Q3,Thu,Weekday,8:00AM,8:45AM,Dry - Clear,15 MPH,One - Way,30 ft.,1,0,5,33,15.89,6,16,25.1,2021Q3
135725_WB_raw_counts(21-360097- 135725 WB 12PM).xlsx,132737,,Bedford Street,Downing St,6th Ave,WB,1,7/1/2021,2021,Jul,Q3,Thu,Weekday,12:00PM,12:48PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,0,5,31,15.76,6,16,23.05,2021Q3
135725_WB_raw_counts(21-360097- 135725 WB 20PM).xlsx,132737,,Bedford Street,Downing St,6th Ave,WB,1,7/1/2021,2021,Jul,Q3,Thu,Weekday,20:00PM,21:00PM,Dry - Clear,15 MPH,One - Way,30 ft.,1,0,7,31,18.83333333,8,19,28,2021Q3
135725_WB_raw_counts(21-360097- 135725 WB 8AM).xlsx,132737,,Bedford Street,Downing St,6th Ave,WB,1,7/1/2021,2021,Jul,Q3,Thu,Weekday,8:00AM,8:45AM,Dry - Clear,15 MPH,One - Way,30 ft.,1,0,5,34,16.6,7,17,25.05,2021Q3
135728_NB_raw_counts(21-360099- 135728 NB 12PM).xlsx,9007051,,Alaska Street,Henderson Ave,Castleton Ave,NB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,12:00PM,12:31PM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,26,15.77,11,16,21.05,2021Q3
135728_NB_raw_counts(21-360099- 135728 NB 20PM).xlsx,9007051,,Alaska Street,Henderson Ave,Castleton Ave,NB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,20:30PM,20:51PM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,27,18.9,11,19,26,2021Q3
135728_NB_raw_counts(21-360099- 135728 NB 8AM).xlsx,9007051,,Alaska Street,Henderson Ave,Castleton Ave,NB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,8:40AM,8:58AM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,25,17.1,11,17,24,2021Q3
135728_SB_raw_counts(21-360099- 135728 SB 12PM).xlsx,9007051,,Alaska Street,Henderson Ave,Castleton Ave,SB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,12:10PM,12:45PM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,25,18.23,11,19,23.05,2021Q3
135728_SB_raw_counts(21-360099- 135728 SB 20PM).xlsx,9007051,,Alaska Street,Henderson Ave,Castleton Ave,SB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,20:30PM,20:51PM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,27,18.32,10.95,19,25.05,2021Q3
135728_SB_raw_counts(21-360099- 135728 SB 8AM).xlsx,9007051,,Alaska Street,Henderson Ave,Castleton Ave,SB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,8:30AM,8:55AM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,25,16.66,11,16,22,2021Q3
135729_NB_raw_counts(21-360099- 135729 NB 12PM).xlsx,9005341,,Alaska Street,Henderson Ave,Castleton Ave,NB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,12:00PM,12:31PM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,29,17.27,11,17,22.05,2021Q3
135729_NB_raw_counts(21-360099- 135729 NB 20PM).xlsx,9005341,,Alaska Street,Henderson Ave,Castleton Ave,NB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,20:00PM,20:28PM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,25,17.04,11,17.5,23,2021Q3
135729_NB_raw_counts(21-360099- 135729 NB 8AM).xlsx,9005341,,Alaska Street,Henderson Ave,Castleton Ave,NB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,8:00AM,8:37AM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,25,16.31,10.95,16,22,2021Q3
135729_SB_raw_counts(21-360099- 135729 SB 12PM).xlsx,9005341,,Alaska Street,Henderson Ave,Castleton Ave,SB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,12:00PM,12:36PM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,25,17.39,10.95,18,23,2021Q3
135729_SB_raw_counts(21-360099- 135729 SB 20PM).xlsx,9005341,,Alaska Street,Henderson Ave,Castleton Ave,SB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,20:00PM,20:25PM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,10,27,18.14,11,19,24.05,2021Q3
135729_SB_raw_counts(21-360099- 135729 SB 8AM).xlsx,9005341,,Alaska Street,Henderson Ave,Castleton Ave,SB,5,8/3/2021,2021,Aug,Q3,Tue,Weekday,8:00AM,8:29AM,Dry - Clear,15 MPH,Two - Way,36 ft.,2,2,11,25,18.28,11,18,25,2021Q3
137283_NB_raw_counts(137283 NB).xlsx,28608,,Rogers Ave,Church Ave,Martense St,NB,3,10/20/2021,2021,Oct,Q4,Wed,Weekday,12:00PM,12:45PM,Dry - Clear,25 MPH,One - Way,36 ft.,2,1,11,27,20.14,14,20,25.05,2021Q4
137284_SB_raw_counts(137284 SB).xlsx,28720,,Nostrand Ave,Martense St,Church Ave,SB,3,10/20/2021,2021,Oct,Q4,Wed,Weekday,12:00PM,12:45PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,2,11,30,21.41,17,21,26.05,2021Q4
137285_NB_raw_counts(137285 NB).xlsx,28618,,Rogers Ave,Winthrop St,Hawthome St,NB,3,10/20/2021,2021,Oct,Q4,Wed,Weekday,13:00PM,13:45PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,2,14,28,20.71,15,21,26,2021Q4
137286_SB_raw_counts(137286 SB).xlsx,28742,,Nostrand Ave,Hawthorne St,Winthrop St,SB,3,10/20/2021,2021,Oct,Q4,Wed,Weekday,13:00PM,13:50PM,Dry - Clear,25 MPH,One - Way,42 ft.,2,2,16,29,21.85,16.95,22,28,2021Q4
137287_NB_raw_counts(137287 NB).xlsx,29614,,Rogers Ave,Sterling St,Empire Blvd,NB,3,10/27/2021,2021,Oct,Q4,Wed,Weekday,12:10PM,12:45PM,Dry - Clear,25 MPH,One - Way,36 ft.,2,1,10,23,16.1,10.95,16,22,2021Q4
137288_SB_raw_counts(137288 SB).xlsx,29621,,Nostrand Ave,Empire Blvd,Sterling St,SB,3,10/27/2021,2021,Oct,Q4,Wed,Weekday,12:10PM,12:40PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,1,10,26,19.25,15,19,24.05,2021Q4
138237_NB_raw_counts(138237 NB).xlsx,29602,,Rogers Ave,Lefferts Ave,Sterling St,NB,3,10/5/2021,2021,Oct,Q4,Tue,Weekday,12:00PM,12:45PM,Dry - Clear,25 MPH,One - Way,43 ft.,2,2,10,30,20.52,11.95,20,28,2021Q4
138238_SB_raw_counts(138238 SB).xlsx,29608,,Nostrand Ave,Lefferts Ave,Sterling St,SB,3,10/5/2021,2021,Oct,Q4,Tue,Weekday,12:00PM,12:32PM,Dry - Clear,25 MPH,One - Way,43 ft.,2,2,10,27,19.32,11.95,20,25,2021Q4
138239_NB_raw_counts(138239 NB).xlsx,29604,,Rogers Ave,Maple St,Lincoln Rd,NB,3,10/6/2021,2021,Oct,Q4,Wed,Weekday,12:00PM,12:45PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,2,10,37,20.13,14,20,28,2021Q4
138240_SB_raw_counts(138240 SB).xlsx,29612,,Nostrand Ave,Lincoln Rd,Maple St,SB,3,10/6/2021,2021,Oct,Q4,Wed,Weekday,12:05PM,12:49PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,2,10,34,18.58,11,19,24.05,2021Q4
138241_NB_raw_counts(138241 NB).xlsx,28626,,Rogers Ave,Midwood St,Maple St,NB,3,10/7/2021,2021,Oct,Q4,Thu,Weekday,13:00PM,13:58PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,2,12,30,20.38,15.9,20,26.05,2021Q4
138242_SB_raw_counts(138242 SB).xlsx,28632,,Nostrand Ave,Midwood St,Rutland Rd,SB,3,10/7/2021,2021,Oct,Q4,Thu,Weekday,13:10PM,14:00PM,Dry - Clear,25 MPH,Two - Way,44 ft.,2,2,11,32,18.37,12,18,27.05,2021Q4
138243_NB_raw_counts(138243 NB).xlsx,28614,,Rogers Ave,Clarkson Ave,Parkside Ave,NB,3,10/28/2021,2021,Oct,Q4,Thu,Weekday,12:15PM,12:48PM,Dry - Clear,25 MPH,One - Way,43 ft.,2,1,10,26,17.43,11,17,23,2021Q4
138244_SB_raw_counts(138244 SB).xlsx,28738,,Nostrand Ave,Parkside Ave,Clarkson Ave,SB,3,10/28/2021,2021,Oct,Q4,Thu,Weekday,12:15PM,12:45PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,2,11,25,15.57,12,15,21,2021Q4
138245_SB_raw_counts(138245 SB).xlsx,28732,,Nostrand Ave,Lenox Rd,Linden Blvd,SB,3,10/28/2021,2021,Oct,Q4,Thu,Weekday,12:55PM,13:30PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,2,10,28,18.93,13,19,25,2021Q4
138246_NB_raw_counts(138246 NB).xlsx,28604,,Rogers Ave,Martense St,Linden Blvd,NB,3,10/28/2021,2021,Oct,Q4,Thu,Weekday,13:00PM,13:45PM,Dry - Clear,25 MPH,One - Way,44 ft.,2,2,12,28,21.21,16,21,26,2021Q4
141361_NB_raw_counts(141361 NB).xlsx,80896,,Riverdale Ave,W 254th St,W 256th St,NB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:14PM,12:27PM,Dry - Clear,25 MPH,Two - Way,56 ft.,2,1,21,29,24.74,21,24,28,2022Q1
141361_SB_raw_counts(141361 SB).xlsx,80896,,Riverdale Ave,W 256th St,W 254th St,SB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:01PM,12:18PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,18,31,24.13,19,24,28,2022Q1
141362_NB_raw_counts(141362 NB).xlsx,80927,,Riverdale Ave,W 259th St,W 260th St,NB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,13:08PM,13:27PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,6,22,13.97,10,14,18,2022Q1
141362_SB_raw_counts(141362 SB).xlsx,80927,,Riverdale Ave,W 259th St,W 260th St,SB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,13:31PM,13:56PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,5,21,14.41,10,14,20,2022Q1
141363_NB_raw_counts(141363 NB).xlsx,81417,,Riverdale Ave,W 260th St,W 261st St,NB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,13:18PM,13:36PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,11,19,15.42,11.95,16,19,2022Q1
141363_SB_raw_counts(141363 SB).xlsx,81417,,Riverdale Ave,W 261st St,W 260th St,SB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:51PM,13:13PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,11,19,15.34,12,15,19,2022Q1
141364_NB_raw_counts(141364 NB).xlsx,81427,,Riverdale Ave,W 261st St,W 263rd St,NB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:08PM,12:26PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,12,29,22.42,17,23,28,2022Q1
141364_SB_raw_counts(141364 SB).xlsx,81427,,Riverdale Ave,W 261st St,W 263rd St,SB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:30PM,12:51PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,12,28,20.03,14,20,24,2022Q1
141365_NB_raw_counts(141365 NB).xlsx,107200,,Riverdale Ave,W 256th St,W 258th St,NB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:30PM,12:41PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,14,28,23.44,17,24,27,2022Q1
141365_SB_raw_counts(141365 SB).xlsx,107200,,Riverdale Ave,W 258th St,W 256th St,SB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:42PM,13:01PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,12,31,25.14,19,26,29,2022Q1
141366_NB_raw_counts(141366 NB).xlsx,80925,,Riverdale Ave,W 258th St,W 259th St,NB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:08PM,12:23PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,11,18,15.41,12,16,18,2022Q1
141366_SB_raw_counts(141366 SB).xlsx,80925,,Riverdale Ave,W 259th St,W 258th St,SB,2,2/24/2022,2022,Feb,Q1,Thu,Weekday,12:26PM,12:41PM,Dry - Clear,25 MPH,Two - Way,60 ft.,2,1,10,19,14.34,11,14,17.05,2022Q1
144243_WB_raw_counts(22-360240-144243 WB 1- 8AM).xlsx,70987,,W 181st St,Fort Washington Ave,Pinehurst Ave,WB,1,11/9/2022,2022,Nov,Q4,Wed,Weekday,08:00AM,09:49AM,Dry - Clear,15MPH,Two - Way,43 ft.,1,1,10,22,13.74,11,13,19.05,2022Q4
144243_WB_raw_counts(22-360240-144243 WB 2- 12NN).xlsx,70987,,W 181st St,Fort Washington Ave,Pinehurst Ave,WB,1,11/9/2022,2022,Nov,Q4,Wed,Weekday,12:00PM,12:40PM,Dry - Clear,15MPH,Two - Way,43 ft.,1,1,10,21,14.29,11,14,19,2022Q4
144243_WB_raw_counts(22-360240-144243 WB 3- 8PM).xlsx,70987,,W 181st St,Fort Washington Ave,Pinehurst Ave,WB,1,11/9/2022,2022,Nov,Q4,Wed,Weekday,08:00PM,09:00PM,Dry - Clear,15MPH,Two - Way,43 ft.,1,1,10,21,13.32098765,11,13,19,2022Q4
144244_EB_raw_counts(22-360240-144244 EB 1- 8AM).xlsx,70991,,W 181st St,Pinehurst Ave,Fort Washington Ave,EB,1,11/9/2022,2022,Nov,Q4,Wed,Weekday,08:00AM,09:00AM,Dry - Clear,15MPH,Two - Way,43 ft.,1,1,10,25,14.67,11,14,19.05,2022Q4
144244_EB_raw_counts(22-360240-144244 EB 2- 12NN).xlsx,70991,,W 181st St,Fort Washington Ave,Pinehurst Ave,EB,1,11/9/2022,2022,Nov,Q4,Wed,Weekday,12:00PM,13:00PM,Dry - Clear,15MPH,Two - Way,43 ft.,1,1,9,20,14.38157895,11,14,19.25,2022Q4
